HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,common_name,female_maturity_days,male_maturity_days,gestation_days,weaning_days,litter_size,litters_per_year,interbirth_interval,birth_weight_g,weaning_weight_g,adult_weight_g,growth_rate,max_longevity_yrs,source,specimen_origin,sample_size,data_quality,imr,mrdt,metabolic_rate_w,body_mass_g,temperature_k,references,log10_longevity,log10_adult_weight
3,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,laminata,Escarpia laminata,,,,,,,,,,,,300.0,1466,wild,medium,acceptable,,,,,,1466,2.4771212547196626,
5,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,luymesi,Lamellibrachia luymesi,,,,,,,,,,,,250.0,652,wild,small,acceptable,,,,,,652,2.3979400086720375,
6,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Seepiophila,jonesi,Seepiophila jonesi,,,,,,,,,,,,300.0,1467,wild,small,acceptable,,,,,,1467,2.4771212547196626,
8,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti,Australian redback spider,,,,,,,,,,,,,,unknown,medium,low,,,,,,1455,,
9,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1294,1295,1296",-0.721246399047171,
11,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150",-0.5228787452803376,
12,Animalia,Arthropoda,Insecta,Diptera,Neriidae,Telostylinus,angusticollis,Telostylinus angusticollis,,,,,,,,,,,,0.05,1442,wild,medium,acceptable,,,,,,1442,-1.3010299956639813,
13,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,capitata,Mediterranean fruit fly,,,,,,,,,,,,0.49,1447,captivity,large,acceptable,,,,,,1447,-0.3098039199714863,
14,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,hirsutus,Mealybug,,,,,,,,,,,,0.08,1449,captivity,small,acceptable,,,,,,1449,-1.0969100130080565,
15,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,,,,,,,,,,,,8.0,812,unknown,medium,acceptable,,,,,,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166",0.9030899869919435,
16,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,Buff tailed bumblebee,,,,,,,,,,,,0.27,1444,captivity,small,acceptable,,,,,,1444,-0.5686362358410126,
18,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293,-0.3010299956639812,
19,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,,,,,,,,,,,,28.0,411,unknown,medium,acceptable,,,,,,"411,813,814,1364",1.4471580313422192,
20,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156,-0.3979400086720376,
21,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"418,809,811",-0.3010299956639812,
22,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,Black field cricket,,,,,,,,,,,,,,unknown,medium,low,,,,,,1443,,
23,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea,microptera,Eastern lubber grasshopper,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1460,1461",,
24,Animalia,Arthropoda,Insecta,Phasmatodea,Lonchodidae,Carausius,morosus,Indian stick insect,,,,,,,,,,,,,,unknown,medium,low,,,,,,1441,,
25,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,,,,,,,,,,,,100.0,2,wild,medium,acceptable,,,,,,"2,13,594",2.0,
27,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,mexicanus,Mexican tetra,,,,,,,,,,,,15.0,1427,captivity,small,acceptable,,,,,,1427,1.1760912590556813,
28,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,formosa,Least killifish,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1453,1454",,
29,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,eleginoides,Patagonian toothfish,,,,,,,,,,,,50.0,1456,unknown,medium,acceptable,,,,,,1456,1.6989700043360187,
30,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,scaber,Smooth leatherjacket,559.0,555.0,,,,,,,,,,17.1,1422,wild,medium,acceptable,,,,,,1422,1.2329961103921538,
32,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,truei,Coastal tailed frog,,,32.0,,62.0,,,,,,,14.0,525,wild,medium,acceptable,,,,,,"525,749",1.146128035678238,
33,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,,,190.0,,,,,,,20.0,485,captivity,medium,acceptable,,,,,,"485,525,749",1.3010299956639813,
34,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,,,148.0,,,,,,,15.8,451,captivity,large,acceptable,,,,,,"451,525,749",1.1986570869544226,
35,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,,,73.0,,,,,,,29.0,,captivity,medium,acceptable,,,,,,"24,525,749",1.462397997898956,
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,,6000.0,,365.0,,,21.7667,,36.0,525,captivity,medium,acceptable,,,0.00829,21.6,288.0,"37,268,426,525,749",1.5563025007672873,1.3377925916306785
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,,5200.0,,,,,,,11.5,451,captivity,medium,acceptable,,,,,,"437,451,526,749",1.0606978403536116,
38,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,californicus,Arroyo toad,,,,,,,,,,,,8.0,1440,wild,medium,acceptable,,,,,,1440,0.9030899869919435,
39,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,,1750.0,,,,,,,15.0,503,wild,medium,acceptable,,,,,,"503,526,749",1.1760912590556813,
40,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730.0,730.0,4.0,,11074.0,,,,,,,10.7,485,captivity,small,questionable,,,,,,"485,526,749",1.0293837776852097,
41,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,,,,,1300.0,,,,,,,12.4,451,captivity,small,acceptable,,,,,,"451,749",1.0934216851622351,
42,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,,,,,,,,,,13.3,451,captivity,small,acceptable,,,,,,"451,528",1.1238516409670858,
43,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,,,1500.0,,,,,,,11.3,485,captivity,medium,acceptable,,,,,,"485,749",1.0530784434834197,
44,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2.0,,,,,,,,,15.3,451,captivity,small,acceptable,,,,,,"451,749",1.1846914308175989,
45,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3.0,,3250.0,,,,,19.267,,10.0,451,captivity,medium,acceptable,,,0.00698,19.2,288.0,"37,451,749",1.0,1.2848140973812312
46,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,,,,,,,,,,10.0,451,captivity,large,acceptable,,,,,,451,1.0,
47,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,,,,,,,,,,40.0,451,captivity,medium,acceptable,,,,,,"451,525,526,1134",1.6020599913279623,
